User_ID,Country,University,Qualification,Discipline,GPA
156,BiH,dfgvb,dssssd,dssss,4
157,United states,baruch,undergraduate,accounting,3.5
158,India,IIMT College of Engineering,5 semester,Computer Science & Engineering,80%
159,Colombia,universidad de Nariño,pregrado,zootecnia,50
,,lovely Professional university,,,
160,India,,moderate,civil engineering,7
161,tunisia,university of tunis el manar,bachor,economy,81
162,Morocco,science economics and law faculty of souissi,first year of licence,administration and entreprise management,14
163,Nigeria,coe college,Bachelor,business administration.,2.8
164,india,osmania college of engineering,M tech,mechanical,66
165,India,IFIM Business School,PGDM,Marketing,6.3
166,Nigeria,University of Benin,200,BUSINESS,3
167,India,NEF law collage,llb 7th sem,llb,67%
168,Mumbai,wilson College,13,bms,8
169,india,uok kota,m.a,baran,"50,"
170,Indonesia,smk suwawa,clas 10,dont know,Student?
171,Viet Nam,HCM University of Science,Undergraduate,Enviroment,50
172,tunis,issht,baccalaureate,spanish,50
173,India,Vivekananda Institute of Professional Studies,Bachelors,Journalism and Mass Communication,7
174,Kazakhstan,Nis,High school,Physics,80
175,tunisia,isg tunis,3,finance,11
176,algeria,university of skikda,bachelor,english language,"10,25/20"
177,India,NSHM KNOWLEDGE CAMPUS Kolkata,Bachelor,Pharmacy,8.5
178,India,NSHM College of Management and Technology (234),Graduation,Bachelor in Travel and Tourism Management,7.8
179,Saudi Arabia,.,High School,.,.
180,Thailand,Prince of songkla University phuket campus,Bachelor degree,Chinese studies,-
181,india,acropolis institute of technology and research,bachelor,information technology,7
182,India,IIT (BHU) VARANASI,B TECH PART 3,Civil Engineering,8.27
183,US,Pitt State,Undecided,Undecided,3.5
184,morocco,mohammed v Rabat,bachelor,communication,.
185,Nigeria,University of Uyo,School,Urban and Regional Planning,3
186,jordan,al balqa applied university,bachelor degree,business administration,3.6
187,Algeria,Higher National School of Computer Science,Bachelor,Computer science,12/20
188,India,"IIT BHU, Varanasi",B Tech,Chemical,10
189,Perú,Abraham Valdelomar,Secundary,College,90%
190,United States,Trine University,Bachelor's of Science,Forensic Science and Biology,2.8
191,Australia,University of Vienna,Master,Economy and Society of East Asia,5.9
192,India,Vivekananda Institute Of Professional Studies,Bachelor's,Journalism and Mass Communication,6.8
193,us,long beach city college,2,human services,3.67
194,guf8,durr8,jccjfj,xjcj,sgsh
195,jooogdt,jhffhh,School,jutfhj,78
196,United States,Brigham Young University - Idaho,Undergraduate,Computer Information Technology,0
197,Ghana,Ghana Technology University College,University,Computer Engineering,2
198,Colombia,universidad del norte,bachelor,psychology,3
199,Malaysia,Ucsi,Degree,Accounting and finance,3.83
200,Syria,Damascus University,Second year student,English Literature,80%
201,India,Siliguri govt polytechnic college,Diploma,Electronics and telecommunication engineering,69.30%
202,Malaysia,Management and Science University,diploma in advance,diploma in management,3.11
203,Nigeria,N/A,High School,Architecture,80%
204,Egypt,HTI,Graduate,Mechatronics,3
205,India,Narayana Junior college,intermediate,m.p.c,70
206,Italy,University of Bologna,Master student,Mass media and politics,28.6/30
207,Morocco,Lycée Omar Bn abdelaziz CPGE,BAC,Technology and industrial sciences,3
208,lebanon,Lebanese University,3rd year of college,english literature,72%
209,Bangladesh,University of Chittagong,Post graduation,Finance,3.89/4
210,China,Columbia,Graduate,CS,NA
211,Russia,Pskov State University,Bachelor,Pedagogy and foreign languages,100
212,India,Swami Vivekanand Institute of Technology,Masters,Chemistry,83.71
213,Indonesia,Diponegoro University,Undergraduate,Accounting,3.65
214,Bangladesh,mirbag degree,good,computer science,4.5
215,India,S.I.E.S College of Commerce & Economics/ Mumbai university,12th,B.Com (A & F),9.14
216,Sri Lanka,mangalore,Degree,Biotechnology,3.45
217,Bangladesh,Said institute of Medical technology,HSC,Laboratory Medicine,2:50
218,paraguay,UNA,basico,marketing,20
219,India,Cluster Innovation Center,B. Tech,Computer Science,7.4
220,United States of America,Twin Valley High School,High School Sophomore,General Education,4.125
221,Indonesia,Diponegoro University,Bachelor of Science,Material Physics,3.33/4
222,Texas,Strayer University,College,business,4.8
223,Kenya,Kenyatta University,4th year,Bachelor of Commerce,70.25
224,Indonesia,Politeknik Elektronika Negeri Surabaya,D3,Teknik Informatika,3.y
225,Morocco,ibn zohr,Bachelor,biology,0.7
226,Lao PDR,NUOL,undergraduate,Computer Engineering,3
227,America,Veritas academy college,12,economy,4
228,Malaysia,Curtin University of Malaysia,Degree,Science(Computing),81.67
229,india,IIT DHANBAD,Master's,Maths and Computing,6.09
230,United States,Loma Linda University,Undergraduate,Nursing,3.5
231,Maharashtra,Maharashtra university,Graduate,Bachelor of Management,6
232,Indonesia,Universitas Andalas,undergraduate,Electrical Engineering,3.21
233,Lebanon,Cu,Bachelor,Architecture,3
234,France,Sorbonne Nouvelle,College,LEA,100
235,Brasil,Evolução,High School,General Knowledge,A-
236,india,IIT Madras,Phd,mechanical engineering,8
237,Egypt,Fayoum University,Doctroal,Tourism Guidance,90
238,USA,Gettysburg,bachelors,History,95
239,Bangladesh,govt. Titumir college,honours 1st year,Marketing,4.5
240,Korea,Andong National University,Master of Business Administration,Management,3.61
241,Pakistan,Bacha Khan University Charsadda,BS 4 years,English Literature,2.85
242,India,terna engineering college,School,Electronics and telecommunication engineering,8
243,india,nit,mtech,electronics,7.8
244,india,mg university kottayam,madters,mca,75%
245,India,IIT GUWAHATI,Masters,Development Studies,.
246,Germany,d,s,s,s
247,Morocco,university Hassan 2 Mohammedia,licence,economie et gestion,50%
248,Nigeria,Ebonyi State College of Medicine,400,Medicine and Surgery,4.31
249,Indonesia,Pesantren Bangil,Highschool,Islam,90
250,United States,American Intercontinental University,Bachellors Degree,Business Administration Healthcare Management,3
251,Puerto Rico,Inter American University of Puerto Rico,High School Senior,Forensic Science,3.2
252,Malaysia,Ungku Omar Polytechnic,Diploma,Geomatics,3.71
253,Netherlands,Avans,Bachelor,Civil Engineering,25
254,India,Kamaraj College of engineering and Tec,Btech,Biotechnology,8.32
255,india,Chennai institute of technology,Bachelor's degree,Mechatronics,7.96
256,India,Agni College of Technology,Bachelor of Engineering (Pursuing),Electronics and Communication,8.83
257,Bangladesh,any university,bsc,civil engineering,3.25
258,Colombia,Colegio Santander,Bachiller,Idiomas,320
259,Morocco,International University of Rabat,3rd year bachelor,International business Program in Management,"2,5/4"
260,India,spicer Adventist University,BA,religion,3
261,India,GLA University,1st year Student,Computer Science,-
262,Uzbekistan,Czech technical intitut im Praze,magistr,Pilot,75
263,Bangladesh,Fareast International University,2021,computer Science and Engineering,3.94
264,india,SRM Institute of Science And Technology,B.Tech,Information Technology,,8.2
265,India,Guru Nanak Dev University Amritsar,M.Sc hons,Chemistry,,6.43
266,Kenya,university of Eldoret,Degree,Analytical Chemistry,,1
267,India,Bhavans College,12th Grade,Science,,53.8
268,United States,Rider University,Freshman,Musical Theater,,4
269,Poland,Azerbaijan Technical University,3,Computer science,,70
270,Bangladesh,premier university,graduated,mba,,2.5
271,Tunisia,sidi alouane,1er secondary school,economy,,1er
272,Nigeria,Chukwuemeka Odumegwu Ojukwu University,BSc,Biochemistry,,4.17
273,US,DMACC,Master's,Psychology,,3.7
274,Philippines,UP Diliman,Undergraduate,Chemical Engineering,,85%
275,India,IIT Mandi,Master,Energy Engineering,,80
276,USA,Mt. Hood Community college,Associates,Game Development,,2.5
277,South Africa,University of South Africa,ThirdbYear,Environmental Management,,50%
278,Nigeria,"Adekunle Ajasin University, Akungba-Akoko",400 Level,Microbiology,,4.4
279,Indonesian,Sam Ratulangi university,s1,political science,,50
280,Brasil,PUC,Graduation,Business administration,,50
281,Sweden,Not Enrolled,High School Degree,IB Graduate,,24
282,United States Of America,utrgv,high school senior,electrical engineering,,2.4
283,India,INIFD KOREGAON PARK,3yr,Interior designing,,6.8
284,india,Sathyabama institute of science and,b.com,b. com,technology,5.1
285,India,Government Engineering College Gandhinagar,Bachalor Engineering,Instumentation and Control Engineering,,65.3
286,india,MGR university,2nd year,information technology,,7.95
287,Moçambique,University,12ª,sociologia,,100%
288,India,malini kishore sanghvi college,12,commerce,,70
289,Kenya,Railway Training college,Diploma,Procurement,,75%
290,France,ISC Paris Business School,Masters,International business and marketing,,80%
291,Pakistan,university of Karachi,bachelor of engineering,Chemical Engineering,,2.559
292,india,shree dhanvantary pharmacy College,3rd year,Bachelor of pharmacy,,82%
293,Pakistan,Fast Islamabad,Bachelor's,Computer Science,,2.1
294,INDIA,College of Engineering Adoor,Graduation(ongoing),B.tech,,10
