Headline,Type of opportunity,Discipline,Minimum Qualification / Applicable for,Countries eligible,Location of opportunity,vector
Blekinge Institute of Technology Scholarships for International Students 2020,52,8,38,70,177,"[-2.35045896e-01  5.52447054e-01  1.56075483e-03 -5.11896040e-01
 -7.97179384e-02  1.97294252e-01 -2.19511890e-01 -2.56769962e-01
  2.03737608e-01  3.76753403e-02  1.76391361e-01 -1.19273285e-01
  4.68794887e-01 -3.06472190e-01  2.50603397e-01  3.10567163e-02
  8.26456781e-02  3.20834965e-01  1.66987560e-02 -1.63864983e-01
  5.38641602e-01  4.89235265e-02 -1.43370116e-01  1.36130767e-01
 -1.74043301e-01 -9.94436027e-01  7.96934529e-02 -5.47508871e-01
 -3.88717975e-01 -1.66838119e-02  2.50016340e+00  3.56824473e-01
 -2.34720448e-01 -3.85840734e-01  2.90378984e-01  1.00934741e-01
  1.98747807e-01  2.08063698e-01  6.16276196e-02 -2.35588790e-01
  1.45380489e-02 -1.91814487e-01  3.03594493e-01  5.41659398e-01
 -5.27965227e-01 -4.24640813e-01  8.54160173e-02  5.04323247e-01
 -1.76848532e-01  1.43419735e-01]"
Amsterdam Merit Scholarshipս 2020,52,31,38,70,129,"[-0.09627292  0.53279405 -0.16889234 -0.20761469  0.10305721 -0.18708113
 -0.25347755 -0.27661245 -0.04195324  0.11190939  0.24936127 -0.14775471
  0.05121708 -0.18684834  0.22626941  0.03576338  0.14574297  0.17666855
 -0.28420488 -0.12039964  0.35114374  0.17570418 -0.07181277  0.08139787
 -0.10338413 -1.00913089 -0.14579091 -0.45226161 -0.45933237 -0.10040113
  2.46551116  0.31553417 -0.23929709 -0.7288349   0.14342547  0.0460144
  0.07860764  0.34161085  0.04711743 -0.20898769 -0.02395641 -0.21858991
  0.3441368   0.15485534 -0.08645904  0.00902071  0.10236961  0.30410579
 -0.02987488  0.01025692]"
Volvo Group Master's Scholarships in Business and Economics 2020,52,62,38,182,177,"[ 1.88410291e-02  5.74005211e-01 -7.95547490e-02 -1.22833225e-01
  3.93648401e-02  1.05209576e-01 -3.52011251e-01 -2.80529333e-01
  1.42400721e-01  1.40744486e-02  2.76927051e-01 -7.07311231e-02
  3.03181892e-02 -2.11150558e-01  2.82225657e-01  7.85564167e-02
  8.54490259e-02  3.10116877e-01 -7.05256938e-02 -1.64610313e-02
  4.56056231e-01  7.28743333e-02 -1.62672515e-01  1.25930847e-01
 -8.19672378e-02 -1.10463819e+00 -1.81943069e-01 -4.81825635e-01
 -3.88015223e-01  1.58526779e-03  2.57446600e+00  4.00627067e-01
 -3.33938319e-01 -1.06796903e-01  1.31536765e-01 -9.43784838e-02
  1.23903707e-01  1.90299494e-01 -5.78083488e-02 -1.50062015e-01
 -4.89689649e-02 -2.24778118e-01  2.34198316e-01  5.75423290e-03
 -2.51481051e-01 -1.32703948e-01 -1.30505787e-01  2.86206068e-01
 -1.09806877e-01  1.68152381e-02]"
"Axel Adler Scholarships 2020, University of Gothenburg",52,31,38,70,177,"[-0.17868182  0.65664396 -0.11225692 -0.26800366  0.04493472  0.16026881
 -0.37830159 -0.32448044  0.06754025  0.16553133  0.23580944  0.14567468
  0.01595871 -0.10912363  0.0887851  -0.18593344  0.06524128  0.45086316
 -0.29967119  0.05653004  0.54641063  0.17061762 -0.07296543 -0.06938906
  0.01152689 -1.16510527 -0.29700668 -0.71686613 -0.50516033 -0.08932015
  2.55775369  0.101498   -0.35908906 -0.52872711  0.21723676  0.19942225
  0.02838669  0.4467245   0.19194419 -0.24973861  0.07204797 -0.22323437
 -0.01713215  0.18200423 -0.35097578 -0.15679125  0.23268231  0.13527634
 -0.21009914  0.05122358]"
Abertay International Scholarships for International Students 2020,52,31,38,70,202,"[-0.09933503  0.65053839  0.18097911 -0.44555642  0.20465085  0.11148087
 -0.39137047 -0.29700954  0.0827028   0.04278108  0.15190538 -0.1473305
  0.19063888 -0.27828346  0.61265546 -0.18018412 -0.05761408  0.18410457
 -0.52748733 -0.02540666  0.66189453 -0.06265061  0.1442438  -0.1374128
 -0.16705704 -0.94349307  0.10839953 -0.63227639 -0.34765128  0.24972417
  2.62765115  0.38398003 -0.29724969 -0.32442031  0.25280693 -0.13522581
  0.232453    0.20907958  0.06199822 -0.28263977 -0.19716327 -0.18553788
  0.14599488 -0.02391565 -0.6527312  -0.23260228 -0.01478066  0.16111031
 -0.20422216  0.17245355]"
Netherlands Institute for Advanced Study in the Humanities and Social Sciences Fellowship Program 2020,52,0,0,70,129,"[ 0.32680742  0.39462939 -0.14863304 -0.1463979  -0.05175919  0.10407054
 -0.37931052 -0.35044993  0.13012728  0.04202997  0.05243279 -0.10103051
  0.01270806  0.13676218  0.1204107  -0.08513858  0.15350539  0.05333723
 -0.06046061 -0.01434459  0.24975781  0.08213252  0.02934643  0.05571832
 -0.10228363 -0.7422296  -0.26509609 -0.36601075 -0.46896172 -0.09115613
  2.36526098  0.16296765 -0.2038381  -0.40446287  0.07097322 -0.01876699
  0.09178699  0.15770363  0.04663956  0.00687857 -0.307818   -0.18517032
  0.12075964  0.18041022 -0.14545615 -0.10649869  0.00932736  0.20516302
 -0.17000167  0.09693853]"
"University of Oklahoma Postdoctoral Fellowships 2020 - Self, Virtue and Public Life Initiative",52,31,45,70,211,"[ 0.11714875  0.46129617 -0.02473824 -0.33417192  0.15108303  0.10727755
 -0.33719575 -0.3138078   0.05717574  0.00609539 -0.01236161  0.04785401
 -0.0037696  -0.10917578  0.10352243  0.03394445  0.14268516 -0.00601146
  0.01449685  0.08446651  0.38835985  0.12622562  0.18461354 -0.27566941
  0.01326505 -0.93558191 -0.08897319 -0.56096819 -0.26876606  0.10406787
  2.34456973  0.20042263 -0.35340786 -0.71955487 -0.06526774 -0.06178489
 -0.07649297  0.35488833 -0.06851368 -0.1726255  -0.22274553 -0.44514484
  0.11125683  0.27559213 -0.23667794 -0.11026972 -0.11966606  0.27149523
 -0.24580276  0.14617686]"
Stipendium Hungaricum Scholarship Programme 2020,52,0,14,70,88,"[-2.06560299e-01  7.66321679e-01 -1.40318818e-01 -4.23041444e-01
 -2.92674356e-02 -1.40562957e-01 -1.72263511e-01 -4.42655577e-01
  1.22749070e-02  9.60244689e-02  1.54169468e-01  2.62336446e-01
  2.39786981e-01 -1.73972388e-01  2.16835539e-03 -1.69234450e-02
 -3.54939010e-02  2.41673595e-01  4.01312016e-02  8.87344703e-03
  4.30531929e-01  1.62677733e-01  1.19014664e-01  1.53611783e-01
  1.13060955e-01 -9.42636088e-01 -3.00128158e-01 -6.83334301e-01
 -3.99882687e-01 -5.54289334e-02  2.69532444e+00  1.57585774e-01
 -3.75052063e-01 -5.21058910e-01  2.15169356e-01  1.48713330e-01
  1.39147093e-01  1.83295576e-01  2.23340477e-01 -1.34430278e-01
  1.48625714e-01 -2.68408933e-01  1.64043358e-01  2.79343621e-01
 -9.27496398e-02 -2.04463750e-02  2.90462189e-01  1.92158528e-01
  3.25652631e-02  1.72633955e-01]"
Avancez Scholarships 2020-2021,79,0,38,70,177,"[-0.18186301  0.48038858  0.07805686 -0.16154803  0.14889795  0.0630055
 -0.36616428 -0.38051818  0.2198814   0.01464171  0.20023523  0.04865548
  0.0297674  -0.25954507  0.2043322  -0.03553244  0.0733877   0.10374964
 -0.09377403 -0.05164478  0.30573435 -0.02786705 -0.11165752  0.03069505
 -0.13633457 -1.12755403 -0.19111966 -0.62416178 -0.51681838 -0.05866639
  2.52905394  0.18847063 -0.03660611 -0.52805352  0.25038212  0.02836751
  0.11775853  0.29854914  0.11376656 -0.17900473 -0.02071761 -0.05054445
  0.20692033  0.24613402 -0.33170599 -0.03721632 -0.07823115  0.3108622
 -0.09146472  0.12574214]"
Drexel's Dornsife School of Public Health Scholarships and Fellowships 2020,52,31,38,70,211,"[-0.00596302  0.46994837  0.04139569 -0.45914171  0.12561236  0.05025806
 -0.3507734  -0.2356222   0.18898407 -0.01134208  0.02879013 -0.03461253
  0.1867381  -0.43457524  0.23575153 -0.03038887 -0.08963122  0.17351685
  0.10237531 -0.13397127  0.31982568  0.23877633 -0.09169958 -0.10561917
 -0.05424704 -1.20666678 -0.03449556 -0.57029563 -0.43987465 -0.08868666
  2.72837526  0.44193355 -0.27368243 -0.67523705  0.20795038  0.01467993
  0.13947046  0.15854122  0.21848129 -0.34251085 -0.20312588 -0.27091451
  0.19725046  0.42720396 -0.30558411 -0.12045333 -0.05954754  0.48008419
 -0.08868108  0.18930471]"
Migrations Postdoctoral Fellowships 2020,52,74,45,70,211,"[ 1.19240653e-02  5.06790172e-01 -3.77248646e-01 -2.04603358e-01
 -3.39214765e-03  8.50147672e-02 -2.59556929e-01 -5.27253135e-01
  2.07154993e-01  1.20161529e-01  9.52947472e-02  2.26873201e-02
  2.13044522e-02 -5.49102456e-02 -2.15356057e-01 -4.10570363e-02
  2.45773168e-01  1.09752396e-01  5.82826578e-02  1.13476414e-03
  4.23329209e-01  1.97454505e-01 -1.80437156e-02 -1.80582353e-01
  1.78469691e-01 -8.65914996e-01 -2.74798265e-01 -6.11596971e-01
 -3.68139811e-01 -1.57637391e-03  2.43581264e+00  1.65195397e-01
 -2.37130889e-01 -9.99199454e-01 -1.60507036e-01  2.94606111e-02
 -3.55834790e-01  4.74795225e-01  1.35591349e-01  3.66764307e-02
 -1.62611324e-01 -4.25724242e-01  1.15214715e-01  3.48416840e-01
  4.97380046e-02 -4.74337910e-03  3.35601344e-01  4.72044571e-01
 -2.81151181e-01  2.07784419e-01]"
Post Doctoral Fellowship in South Asian Studies 2020,52,31,45,70,211,"[-7.20665525e-02  4.12592811e-01 -2.21593874e-01 -1.50814393e-01
  1.62669847e-01  5.76630351e-02 -1.99259567e-01 -2.37432565e-01
 -4.81848896e-02 -1.67059826e-01  1.34707991e-01  9.58650281e-02
 -2.33030127e-03 -1.01611732e-02 -1.64034440e-02 -1.94288180e-02
  1.12307714e-01  1.07111512e-01 -3.66679483e-02  7.07384605e-02
  2.49198782e-01  2.33556788e-01  1.80569945e-01  1.32668874e-01
  1.92372880e-01 -1.05251482e+00 -1.22973583e-01 -6.36631778e-01
 -5.15403239e-01 -5.60721063e-02  2.42525259e+00  9.10906018e-02
 -2.78031820e-01 -7.08043350e-01  7.27812401e-02 -5.03763393e-03
 -1.53791061e-01  4.05637567e-01  5.85011576e-02 -5.02630036e-02
 -4.71295503e-02 -2.35096538e-01  1.99660071e-01  3.44392812e-01
 -1.67024797e-01 -1.09103441e-02  2.25269228e-01  2.98561324e-01
 -1.74626550e-01  1.34791916e-01]"
Berkman Klein Center for Internet & Society Fellowship Program 2020,52,31,0,70,211,"[ 0.17822822  0.51175684 -0.05020895  0.09585509  0.14269508  0.02121993
 -0.42753412 -0.40841244  0.25624647  0.0065269  -0.08235049 -0.03543672
 -0.00862551  0.11224051  0.04994902 -0.10808197  0.05774481 -0.07176764
  0.1280252  -0.20902356  0.31153124  0.16067552 -0.15260405  0.15920556
 -0.02475357 -0.79943178  0.01520027 -0.58453516 -0.28844986 -0.18475723
  2.36866731  0.14493277 -0.39490378 -0.71833525 -0.17712466 -0.0333753
 -0.05521128  0.15650814  0.09047593  0.03457426  0.04796398 -0.18305563
  0.0740242   0.39072183  0.00394415  0.1594601   0.15200081  0.24904284
 -0.28244049  0.25627235]"
Harvard Law School Աnimal Law & Policy Program Fellowships 2020,52,31,14,70,211,"[ 0.05115611  0.37812648 -0.39037637 -0.25434192  0.01035086  0.13931466
 -0.30198921 -0.54744349  0.4285197   0.03509756 -0.03327403  0.26448927
 -0.02110064 -0.0345019   0.06857401 -0.23261761  0.30370025  0.15136081
  0.21827977 -0.02212229  0.6072107   0.20368125  0.0080339  -0.15461045
  0.053915   -1.00351877 -0.22666607 -0.73656511 -0.34077409  0.01191957
  2.57315304  0.10826171 -0.36260366 -0.91437491 -0.25707843  0.13637843
 -0.16015914  0.21353288 -0.06911207  0.00293416 -0.2007413  -0.43858441
  0.16580654  0.36960093  0.01234739 -0.19998893 -0.0198838   0.42927258
 -0.24335554  0.32680635]"
George Washington University Institute for Korean Studies Fellowship 2020-2021,52,31,45,70,211,"[-2.58928743e-04  6.42031829e-01 -2.20661658e-02 -2.34874825e-01
  7.70052530e-02 -5.68025848e-03 -4.65829604e-01 -4.05140549e-01
  1.07342393e-01 -2.51233334e-01  1.06186089e-01  1.33793832e-02
  3.19309167e-02 -8.33054674e-02  2.85332035e-01 -1.01288516e-01
 -1.53333755e-02  1.18146448e-01 -2.39501532e-01  2.66572377e-01
  4.96386846e-01  1.22669396e-01  1.38837579e-01 -2.24440414e-01
 -1.56366239e-01 -1.02502959e+00  1.02052931e-01 -7.39773620e-01
 -6.50094397e-01  1.37525055e-01  2.49954466e+00  1.03505296e-01
 -3.44568395e-01 -5.63959345e-01 -8.49417966e-02 -1.04872428e-01
 -1.08595717e-02  3.51109479e-01  3.65736624e-01 -1.74347225e-01
 -1.12405545e-01 -3.12343639e-01  3.02397966e-01  1.12685443e-01
 -1.56178881e-01 -5.44178706e-02 -2.39364297e-02  2.64780725e-01
 -2.87616277e-01  2.71639874e-01]"
«Միջազգային հարաբերություններ և դիվանագիտություն» դասընթաց 2020,52,31,45,70,18,"[-2.00926317e-01  1.10122109e+00 -9.35785731e-03  3.91172280e-01
  6.16554788e-02 -1.77625228e-01  2.72608593e-01 -7.16701518e-01
 -4.94204673e-01 -2.05568315e-01 -1.52043484e-01  4.03451550e-01
 -1.82941717e-01 -1.44905421e-01  6.84530191e-01 -2.37452916e-01
 -9.56226990e-04  8.41969807e-02 -5.43090910e-01  2.65138600e-01
 -1.56463632e-01 -1.46193139e-01  6.71033245e-01  5.83867733e-01
  1.06740863e-01 -6.03102268e-01 -4.52095604e-01 -3.53007018e-01
  1.25499155e-02 -2.71158915e-01  2.63227320e+00 -6.15078441e-02
 -5.79858719e-01  2.96088702e-01 -2.33949956e-01 -6.10025448e-02
  3.21671828e-01 -3.47387591e-01  4.74733753e-01 -2.91090685e-02
  7.51871579e-01  1.58588648e-02  4.36519659e-01 -4.32148204e-01
 -1.63614383e-01  8.16391908e-01  4.04262116e-01 -2.94804241e-02
  4.21600371e-01  4.46192241e-01]"
ICI Berlin 12 International Post-doctoral Fellowships 2020,52,31,45,70,81,"[ 1.65314472e-01  5.32397274e-01 -3.10753147e-01 -2.21037919e-01
  2.36150307e-01 -2.68677137e-02 -1.22313520e-01 -3.38032921e-01
  5.78122708e-02  6.67824920e-02  7.93645485e-02 -4.47149621e-02
  6.31344135e-02  3.67142003e-03  7.66904880e-02 -6.57031635e-02
  2.51471534e-01  7.32583717e-02  1.37618945e-01 -1.18125819e-01
  5.65534396e-01  1.46847563e-01  7.72758509e-02 -2.08587291e-03
  7.52233633e-02 -6.31801009e-01 -2.40379673e-01 -4.79274732e-01
 -3.92096705e-01  1.30027402e-01  2.24816329e+00  1.98896097e-01
 -2.75129643e-01 -7.31020733e-01 -2.07449310e-01 -1.65956998e-01
 -1.89140561e-01  2.48071674e-01 -1.49347689e-01  4.28004741e-02
 -8.25141182e-02 -4.97081278e-01  1.78701959e-01  2.87970150e-01
 -1.63956330e-02 -1.94884559e-01  6.23929373e-02  6.11000494e-01
 -2.14973968e-01  1.21777539e-01]"
Lappeenranta University of Technology Master Scholarships 2020,52,0,38,70,75,"[-0.23947689  0.54159002 -0.14267476 -0.19432215 -0.05030599  0.14380369
 -0.25704591 -0.46482058 -0.07708379  0.07883264  0.27417013  0.04507375
  0.05396126 -0.33739747  0.23598754 -0.02211873 -0.05678596  0.34210395
 -0.12000853  0.02618471  0.50283975  0.0678824  -0.09663371  0.04082442
 -0.14355772 -1.03107937 -0.03378804 -0.62972609 -0.44116044 -0.03460264
  2.70208269  0.17599158 -0.24886867 -0.3505969   0.25125428  0.06035528
  0.08198842  0.34227048  0.24554194 -0.1411404   0.08435857 -0.19373157
  0.26724413  0.21401031 -0.32159471 -0.10536595  0.16096811  0.34618018
 -0.05850725  0.13681191]"
Policy Leader Fellowship Program 2020-2021,52,31,0,70,98,"[-0.10584054  0.47130332 -0.30884571 -0.12515327 -0.0435628  -0.09170279
 -0.27832279 -0.51760173  0.08207028 -0.06594919  0.04323411  0.01122386
 -0.15768786  0.03856852 -0.12768897 -0.16144062  0.15851821  0.28729748
 -0.01562133 -0.01799543  0.31514921  0.23555302 -0.06393589  0.01278121
 -0.06220391 -0.94928133 -0.0488222  -0.68196939 -0.5647174   0.08090594
  2.65140323  0.26964261 -0.27212863 -0.66061414 -0.07206988  0.04466004
 -0.18183798  0.30855339 -0.01598871 -0.08131754 -0.14841987 -0.31966952
  0.15492466  0.26572641  0.08285931 -0.0091855   0.10131882  0.24521418
 -0.25520213  0.2385121 ]"
National Endowment for the Humanities (NEH) Senior Research Fellowship Program,52,31,45,300,148,"[ 4.19055124e-02  5.43578706e-01  3.07015325e-01 -1.13366447e-02
  1.86611963e-01 -2.95994058e-02 -4.34536470e-01 -3.93155490e-01
  1.98131172e-01 -1.03466640e-01  2.75438022e-02  6.65594286e-03
 -5.87884785e-04 -9.43950382e-02  3.31386985e-01 -9.56415032e-02
 -2.71883173e-02 -8.30777171e-02 -2.49338165e-01 -2.03713248e-03
  3.41095661e-01 -8.28904326e-02  1.55756700e-01 -1.43460668e-01
 -1.79166150e-01 -9.01187490e-01  6.05066788e-02 -6.63111320e-01
 -5.25314842e-01 -1.60052715e-01  2.64284398e+00  1.40867719e-01
 -3.65201059e-01 -2.62832252e-01  1.13106701e-01 -1.60432224e-03
  1.80567797e-01  2.03092736e-01  1.32053702e-01 -2.66620978e-01
  4.90719256e-02 -1.88106530e-01  1.67634631e-01  1.95574250e-01
 -3.64420492e-01 -4.81884517e-02  6.90128667e-02  1.46081185e-01
 -1.86504133e-01 -9.37007972e-03]"
Forte’s International Postdoctoral Programme 2020,52,31,45,70,177,"[ 0.2605011   0.25911478 -0.01510486 -0.12927233 -0.05455174  0.06055446
 -0.39415548 -0.37071312  0.51338556  0.12493861  0.45254268  0.01984574
  0.02727485 -0.03008693 -0.09216885  0.15313215  0.27201363  0.08277437
 -0.06937883  0.09222004  0.53137849  0.18251273 -0.06933471 -0.12238939
  0.11774349 -0.9112045  -0.04149478 -0.71095146 -0.5663312   0.04749671
  2.34693172  0.30637783 -0.18097619 -0.76773391 -0.1655203  -0.11830468
 -0.16298446  0.38616458  0.23536561 -0.07823499 -0.02075252 -0.3157461
  0.2714007   0.07307249  0.13387636 -0.08585869  0.13279019  0.57449285
 -0.1740599   0.21953886]"
Beinecke Scholarship Program 2020,52,0,14,291,211,"[-5.11698386e-02  5.09924578e-01 -1.01237102e-01 -3.33896175e-01
  2.29314710e-02  3.32098034e-02 -4.47934578e-01 -3.54804895e-01
  2.16941296e-01 -2.15629833e-03  9.91238825e-03  1.19758825e-01
  2.51441960e-01 -3.00117402e-01  1.15115239e-01 -1.16863592e-01
  6.37448949e-02  2.38262406e-01 -1.82817262e-02  1.18186815e-02
  4.29178564e-01  1.24801263e-01 -3.40657519e-02 -2.06646363e-01
 -5.04725496e-02 -9.88120411e-01 -6.58995224e-02 -6.83656548e-01
 -5.70657265e-01 -1.53613494e-01  2.19286830e+00  8.51324349e-02
 -2.87725614e-01 -7.52580970e-01  1.30422736e-01  9.88279300e-02
 -1.74404439e-02  4.03448436e-01  1.60319531e-01 -2.50618075e-01
 -7.30642962e-02 -2.71897929e-01  1.50821171e-01  3.30850701e-01
 -2.76321592e-01 -5.54631289e-02  5.05514990e-02  2.67588129e-01
 -3.64842129e-01  2.11293869e-01]"
Postdoctoral Fellowships in Political Philosophy or Legal Theory on the legitimacy of International Courts and Tribunals 2020,52,31,45,70,129,"[ 1.99670393e-01  2.55988804e-01 -1.72630498e-01  3.48465871e-02
  1.45329682e-02  5.14559119e-02 -1.32246959e-02 -5.63466960e-01
  2.40203980e-01 -7.86652039e-03  1.07087671e-01  1.27444294e-01
 -1.56502931e-01  3.95664115e-03  1.37973873e-02  1.19747208e-01
  1.14758035e-01 -8.27270864e-02  2.64923419e-01 -1.37420116e-01
  2.73925261e-01  6.28348383e-02 -3.79185445e-02 -1.26181310e-01
 -1.98554802e-03 -9.88866083e-01 -3.19485827e-01 -5.00049091e-01
 -3.22306936e-01  5.09464789e-02  2.50065522e+00  1.55050317e-02
 -4.59089881e-01 -8.52285221e-01 -4.78028897e-02 -1.59941551e-02
 -3.40938885e-02  1.99009153e-01 -8.31686863e-02 -1.56835603e-02
 -1.37785110e-01 -2.51641303e-01  2.87967642e-01  3.19995744e-01
 -7.98227629e-02  6.57441176e-02  1.21331007e-01  5.55447543e-01
  1.51311153e-03  1.24849005e-01]"
Aston Enterprise Scholarships 2020 for International Students,52,0,45,70,202,"[ 8.89266105e-02  3.93819228e-01 -1.10827572e-01 -3.55074773e-01
 -1.88313632e-02  4.01783503e-02 -5.27351592e-01 -2.76965454e-01
 -1.62123312e-01  2.44228844e-01  2.81775244e-02  9.15068124e-02
 -7.99903231e-02 -1.99938459e-01  3.12014802e-02 -8.48976844e-02
  2.10592750e-01  2.42940351e-01 -3.19277743e-03 -2.28306773e-01
  5.02861108e-01  2.05253180e-01 -1.63593642e-01  9.12230750e-02
  2.56842724e-02 -9.89180917e-01 -1.97832768e-01 -7.00601091e-01
 -2.73101225e-01 -1.12290088e-01  2.64864296e+00  4.42240448e-01
 -1.63242696e-01 -7.23043099e-01  1.63017343e-01  7.01817138e-02
 -1.98742157e-01  3.46892338e-01 -1.59343192e-02 -1.53277762e-01
 -2.22461270e-01 -3.54693818e-01  1.10121615e-01  3.99617364e-01
  1.80905649e-03 -9.68092727e-02 -3.83767032e-02  2.95315823e-01
 -1.06704367e-01  1.12266386e-01]"
"Chayes International Public Service Fellowships 2020, Harvard University",52,31,0,70,211,"[-0.05216466  0.32986577 -0.19617876 -0.22192365  0.08038432  0.03557804
 -0.25020368 -0.21074719  0.12972038 -0.19838082 -0.07057461 -0.03151401
 -0.16055375 -0.12898975  0.21029939 -0.15797615  0.10633519  0.0210314
  0.1393117   0.04318904  0.34758849  0.3727034   0.027485   -0.03297525
 -0.13598223 -1.16848329 -0.00535037 -0.55593528 -0.36305961  0.11618228
  2.39710482  0.06863179 -0.27338928 -0.75237523 -0.06924277  0.05646437
 -0.13808442  0.08571261  0.01437128  0.1267112  -0.32558667 -0.05436996
  0.32269072  0.26381497 -0.18516789 -0.0300137  -0.23779755  0.22829605
 -0.29343203 -0.01310345]"
Max Planck Institute for Study of Societies (MPIfG) Postdoctoral Program 2020,52,62,45,70,81,"[ 4.07818267e-02  4.08827977e-01 -2.45549574e-02 -3.53289782e-01
  1.80266866e-01  9.17362583e-02 -4.69607006e-01 -2.77883132e-02
 -5.86390643e-02 -1.51885539e-01  8.83888029e-02  2.95243639e-03
 -3.72603469e-02 -2.72389044e-03  3.03907805e-01  3.04605386e-02
  2.16101968e-03  1.87176115e-02 -3.86215009e-02 -6.49765627e-02
  3.35980408e-01  2.37157369e-01  1.96300130e-01 -1.60540398e-01
  1.72230434e-02 -1.25317782e+00 -4.02054573e-02 -5.52059756e-01
 -4.75036430e-01 -6.88520638e-02  2.54581414e+00  1.60578263e-01
 -4.38357453e-01 -7.62727284e-01  1.98495237e-01 -4.56922328e-02
  1.58936749e-02  4.88492302e-01  1.81158834e-01 -1.61773178e-01
 -2.99271538e-01 -2.39755087e-01  1.78985393e-01  3.67820934e-01
 -1.94623197e-01 -2.24215215e-01  9.65524772e-02  4.79780197e-01
 -3.35170197e-01  1.73505648e-01]"
Silas H. Rhodes Merit Funding for International Students 2020 at School of Visual Arts,52,31,14,70,211,"[ 0.0184881   0.26844507  0.18328727 -0.23229512 -0.08735179  0.01731366
 -0.43756304 -0.41436623  0.17966554 -0.01101902  0.10254261  0.10599255
  0.26249539 -0.19287922  0.27469544  0.06336011 -0.25781123  0.05009147
  0.21320809 -0.14145494  0.39717934 -0.07671185  0.02400341  0.13651954
 -0.08466816 -1.08699372 -0.00354463 -0.37333395 -0.24869744 -0.28926904
  2.74613286  0.02720419 -0.41047059 -0.46998518  0.02833282  0.0653083
  0.29500195  0.03512337  0.15067093 -0.24287141  0.15181016 -0.16862654
  0.15111268  0.1912044  -0.29429877 -0.01611535  0.07120825  0.31086816
 -0.02953209  0.21697239]"
Katz School Merit-Based Scholarships for International Students 2020,52,62,38,70,211,"[-0.01391442  0.32438319  0.06262709 -0.14148404  0.08760141  0.01043242
 -0.18943975 -0.13843435  0.13637728  0.08489484  0.0407188  -0.03689599
  0.14209234 -0.15664872  0.17693331 -0.01146532  0.01249481  0.07958783
  0.17837144 -0.21434323  0.3948202   0.1856239  -0.062104   -0.04463972
 -0.03758229 -0.92365981 -0.00514719 -0.48118366 -0.26134273 -0.04932313
  2.30049052  0.35397167 -0.23799428 -0.61933525  0.0927305   0.06805593
  0.06252013  0.11608421 -0.05169058 -0.21958544 -0.03471907 -0.13709502
  0.1686888   0.2776368  -0.19304946 -0.13565801 -0.03319228  0.5273758
 -0.16960543  0.22031103]"
Council on Middle East Studies Postdoctoral Fellowship in Modern Middle East Studies 2020-2021,52,31,45,70,211,"[ 0.03767844  0.48067957 -0.22136013 -0.25100972  0.05838063 -0.15121738
 -0.35799975 -0.32381819 -0.054664   -0.21850054  0.04621864 -0.09579016
  0.03712661 -0.00578027  0.02138202  0.15026341  0.08806481  0.09456482
 -0.15998042  0.2045573   0.39432011  0.102437    0.1576407   0.04196326
  0.06756697 -0.98177955 -0.03575098 -0.47147766 -0.50122393  0.08954683
  2.41839074  0.02841282 -0.35305862 -0.65119457  0.04488675 -0.06507239
 -0.15217185  0.35745266  0.10318239  0.07427198 -0.25447411 -0.21093441
  0.11870882  0.09148741 -0.16009072  0.19638864  0.17552121  0.15948608
 -0.28650129  0.01408039]"
"Postdoctoral Research Fellowship in the Project ""The Lifetimes of Epidemics in Europe and the Middle East"" 2020",52,74,45,70,139,"[ 0.18361302  0.3319621  -0.2136765  -0.20291386 -0.01276214  0.15146091
 -0.09157158 -0.46554708  0.16990489 -0.21089372  0.2024584   0.03807696
 -0.05805542 -0.11870906  0.03080263  0.07203993  0.21406553  0.04196907
 -0.11803128  0.34198552  0.14390539 -0.08021147  0.17974168  0.03941926
  0.17912027 -0.75453217 -0.13865287 -0.44427956 -0.23385936  0.11357447
  2.10223542  0.03155159 -0.20497212 -0.60409306 -0.25979541  0.01019053
 -0.10871676  0.12195165  0.09149114  0.28872097 -0.12624298 -0.29070874
  0.20563415  0.0590839  -0.05762138  0.28390042  0.1080807   0.24611189
 -0.17584148 -0.09005398]"
Leiden University Walraven Scholarships 2020,52,0,38,70,129,"[-3.39335861e-01  7.80342036e-01 -1.65653724e-01 -2.85839514e-01
  1.26567834e-01 -1.53469723e-02 -3.96813844e-02 -4.19284842e-01
 -1.46799517e-01  1.95788647e-01  4.46509670e-01  2.72469484e-01
  5.57284274e-02 -1.47540862e-01 -2.63919427e-02  1.28746209e-03
 -1.27987949e-03  5.10395306e-01 -3.39683994e-01  1.57365998e-01
  3.61144179e-01  2.96620343e-01  5.80468445e-02 -9.63653431e-02
  8.35425149e-02 -1.13282327e+00 -2.42690478e-01 -6.75566899e-01
 -5.53595016e-01 -7.40391243e-02  2.34552933e+00  2.82641331e-02
 -4.28106330e-01 -7.20748281e-01  2.09591223e-01  1.24394938e-01
  4.38645184e-02  4.51418613e-01  4.19633883e-01 -8.73480804e-02
  2.43283535e-01 -1.85338884e-01  1.38710745e-01  2.77786728e-01
 -4.19439900e-01 -5.00427826e-02  3.93049049e-01  2.30099366e-01
 -1.60118658e-01  6.42943779e-02]"
